25,Who won the 2022 FIFA World Cup?,Brazil,Argentina,France,b
2,Which player holds the record for the most goals scored in a single World Cup tournament?,Ronaldo (Brazil),Miroslav Klose,Just Fontaine,c
3,What year was the Premier League founded?,1992,1994,1989,a
4,Which team won the UEFA Champions League in 2021?,Manchester City,Chelsea,Bayern Munich,b
5,Who is known as the "Egyptian King" in football?,Mohamed Salah,Trezeguet,Ahmed Hegazi,a
6,Which country has won the most Copa America titles?,Brazil,Argentina,Uruguay,c
7,Who is considered the best player of all time, often referred to as "The King"?,Lionel Messi,Diego Maradona,P
8,Which club is known as "The Red Devils"?,Liverpool,Manchester United,Arsenal,b
9,Who holds the record for the most goals scored in the Premier League?,Thierry Henry,Sergio Aguero,Alan Shearer,c
10,In which country was the first FIFA World Cup held?,Italy,Uruguay,Brazil,b
11,Which footballer is known as "CR7"?,Cristiano Ronaldo,Lionel Messi,David Beckham,a
12,Which country won the Euro 2020?,France,Italy,England,b
13,Who is the all-time top scorer in La Liga?,Lionel Messi,Cristiano Ronaldo,Raul Gonzalez,a
14,Which club is known as "The Blues"?,Manchester United,Manchester City,Chelsea,c
15,What year did the first World Cup take place?,1930,1920,1940,a
16,Who won the 2014 FIFA World Cup?,Germany,Brazil,Argentina,a
17,Which footballer has the most Ballon d'Or wins?,Lionel Messi,Cristiano Ronaldo,Michel Platini,a
18,What is the nickname of the Brazilian national football team?,La Roja,The Samba Boys,The Selecao,b
19,Which country hosted the 2018 FIFA World Cup?,Russia,France,Germany,a
20,Which football club is known for its "Merengues" nickname?,Barcelona,Real Madrid,Atletico Madrid,b
21,Who scored the "Hand of God" goal in the 1986 World Cup?,Diego Maradona,Lionel Messi,Cristiano Ronaldo,a
22,Which player is referred to as "The Egyptian King"?,Mohamed Salah,Ahmed Hegazi,Trezeguet,a
23,Which country won the 2010 FIFA World Cup?,Spain,Germany,Netherlands,a
24,Who was the manager of the German national football team during their 2014 World Cup win?,Jurgen Klopp,Joachim Low,Ottmar Hitzfeld,b
1,Which club did David Beckham play for in his final professional season?,Paris Saint-Germain,LA Galaxy,Real Madrid,a
26,Who is the all-time top scorer in the Premier League?,Sergio Aguero,Alan Shearer,Wayne Rooney,b
27,Which footballer is known as "The Atomic Flea"?,Neymar,Lionel Messi,Antoine Griezmann,b
28,Which country has won the most World Cup titles?,Germany,Brazil,Italy,b
29,Who scored the most goals in the 2018 World Cup?,Harry Kane,Kylian Mbappe,Luka Modric,a
30,What year did Barcelona win the treble (La Liga Copa del Rey and UEFA Champions League) under Pep Guardiola?,2010,2011,2009,c
31,Which club does Zlatan Ibrahimovic play for?,AC Milan,Paris Saint-Germain,Manchester United,a
32,Which footballer is known for his "No. 10" jersey and brilliant dribbling skills?,Neymar,Lionel Messi,Diego Maradona,b
33,Who holds the record for the fastest goal in World Cup history?,Gareth Bale,Clint Dempsey,Matthias Sammer,b
34,Who won the 1998 FIFA World Cup?,France,Argentina,Brazil,a
35,What country is known for the "Tiki-taka" style of football?,Brazil,Spain,Argentina,b
36,Which Premier League club is known as "The Gunners"?,Manchester United,Arsenal,Liverpool,b
37,What is the nickname for the German national football team?,Die Mannschaft,Les Bleus,The Selecao,a
38,Who is the most expensive football player of all time?,Neymar,Lionel Messi,Cristiano Ronaldo,a
39,What year was the Champions League formerly known as the European Cup renamed?,1992,1994,1990,a
40,Which country won the first ever World Cup in 1930?,Uruguay,Argentina,Brazil,a
41,Who holds the record for the most assists in Premier League history?,Ryan Giggs,Frank Lampard,Wayne Rooney,a
42,Who is the all-time top scorer for the French national team?,Thierry Henry,Zinedine Zidane,Olivier Giroud,a
43,Which club won the most titles in Serie A during the 2010s?,Juventus,AC Milan,Inter Milan,a
44,Who scored the winning goal in the 2014 World Cup final?,Miroslav Klose,Andres Iniesta,Marco Reus,b
45,Which country has won the most European Championships?,Germany,Spain,Italy,a
46,Who is the all-time top scorer in the UEFA Champions League?,Cristiano Ronaldo,Lionel Messi,Raul Gonzalez,a
47,Which club has the nickname "The Toffees"?,Liverpool,Everton,Tottenham Hotspur,b
48,Who was the first footballer to win five Ballon d'Or awards?,Cristiano Ronaldo,Lionel Messi,Michel Platini,a
49,Which country is famous for its "Total Football" style?,Germany,Netherlands,Argentina,b
50,Who was the youngest player to score a goal in a World Cup?,Pele,Wayne Rooney,Mohamed Salah,a
